a, 3.5,  9.8
b, 0.0, 16.8
c, 3.5, 28.8
d, 0.0, 32.6
e, 0.0, 37.8
f, 3.5, 44.8
g, 13.5, 59.6
h, 121.0, 59.6
i, 121.0, 49.8
j, 113.0, 9.8
k, 121.0, 0.0
l, 13.5, 0.0
1, 7.3, 43.6
2, 3.0, 36.1
3, 11.0, 36.1
4, 3.0, 18.5
5, 11.0., 18.5
6, 7.3, 11.0
7, 13.0, 13.8
8, 108.5, 29.8
